Ano;Rec_Op_Liq (milhares R$);Cres_Rec (%);EBIT (milhares R$);Margem_Ebit (%);IR_CSS (milhares R$);IR/EBIT (%);Imobilizado (milhares R$);CresImob (%);Deprec (milhares R$);Deprec/Imob (%);CAPEX (milhares R$);Cres_CAPEX (%);capgiro (milhares R$);varcapgiro (milhares R$);capgiro/receita (%);Cres_3 (%)
2017;47899300;0.050364255;16535500;0.345213813;-5079300;0.307175471;18822300;-0.017307271;3612100;0.191905346;-3203700;-0.224787069;-3970300;-435225;-0.082888476;0.075
2018;50231300;0.048685471;17075800;0.339943422;-1789600;0.104803289;20097000;0.067722861;4023100;0.200184107;-3571000;0.114648687;501200;-446573;0.009977843;0.075
2019;52005121;0.035313062;16472118;0.316740307;-754673;0.045815177;22576299;0.123366622;4675228;0.20708567;-5069405;0.419603752;2610104;-184022;0.050189365;0.075
2020;58378995;0.12256243;16424184;0.281337217;-1762532;0.107313216;24768355;0.097095454;5167350;0.208627097;-4692695;-0.074310496;1864650;897570;0.031940427;0.075
2021;72854344;0.247954748;17080228;0.234443508;-636578;-0.037269877;29224261;0.179903187;5396687;0.184664618;-7677113;0.635971015;-239265;2999459;-0.003284156;0.075
