Ano;Rec_Op_Liq (milhares R$);Cres_Rec (%);EBIT (milhares R$);Margem_Ebit (%);IR_CSS (milhares R$);IR/EBIT (%);Imobilizado (milhares R$);CresImob (%);Deprec (milhares R$);Deprec/Imob (%);CAPEX (milhares R$);Cres_CAPEX (%);capgiro (milhares R$);varcapgiro (milhares R$);capgiro/receita (%);Cres_3 (%)
2010;25233310;0.087921781;10022910;0.397209482;-2084450;-0.207968544;7032298;0.066295865;1533297;0.218036409;-2286800;0.589348005;2356249;-444893;0.093378514;0.092070914
2011;27126719;0.075036093;11709444;0.431657216;-2521995;-0.215381277;9265206;0.317521812;1454741;0.157011188;-3200178;0.399413154;271607;595385;0.010012527;0.168267898
2012;32231027;0.188165329;13910376;0.431583393;-2405110;-0.172900431;11412280;0.231735161;1768631;0.154976131;-3014044;-0.05816364;737243;20839;0.022873705;0.187962127
2013;35079107;0.088364544;15459979;0.440717576;-2481371;-0.16050287;14005600;0.22723943;2105097;0.15030395;-3810308;0.264184597;3456400;-328809;0.098531585;0.111399074
2014;38079786;0.085540347;15915615;0.417954423;-2006558;-0.126074801;15740100;0.12384332;2392508;0.152000813;-4493069;0.179187877;-1096400;485815;-0.028792179;0.029471968
